"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
NA;"4-in-1 Funpak: Volume II";"???";"Interplay";"Beam Software";"";"";"x"
NA;"4x4 Evo";"???";"Gathering of Developers";"Unknown";"";"";"x"
NA;"4x4 Evo 2";"???";"BAM!";"Unknown";"";"";"x"
NA;"5 in One Fun Pak";"???";"Interplay";"Unknown";"x";"";"x"
NA;"50 Cent: Bulletproof";"???";"Vivendi Universal";"Unknown";"";"";"x"
NA;"50 Cent: Bulletproof: G Unit Edition";"???";"Vivendi Universal Games";"Unknown";"";"";"x"
NA;"50 Classic Games";"???";"Rondomedia";"cerasus.media";"";"x";"x"
NA;"50 More Classic Games";"???";"Destineer";"Unknown";"x";"";"x"
NA;"6-Pak";"???";"Sega";"Unknown";"x";"";"x"
NA;"7 Blades";"???";"Konami";"Unknown";"";"x";"x"
NA;"7 Sins";"???";"Monte Cristo";"Unknown";"";"x";"x"
NA;"7 Wonders of the Ancient World";"???";"Funsta";"Unknown";"";"";"x"
NA;"720°";"???";"Mindscape";"Unknown";"";"";"x"
NA;"8 Eyes";"???";"Taxan";"Unknown";"x";"";"x"
NA;"9 Hours, 9 Persons, 9 Doors";"???";"Aksys Games";"Unknown";"x";"";"x"
NA;"A Bug's Life";"???";"Activision, Disney Interactive";"TierTex Design Studios";"";"";"x"
NA;"A Labyrinth Game / Supermind";"???";"Philips";"Philips";"";"x";"x"
NA;"A Series of Unfortunate Events (Lemony Snicket's)";"???";"Activision";"Unknown";"";"";"x"
NA;"A Train 6";"???";"Midas";"Unknown";"";"x";"x"
NA;"A.P.B.";"???";"Atari";"Quicksilver Software";"";"";"x"
NA;"Abadox: The Deadly Inner War";"???";"Milton Bradley";"Unknown";"x";"";"x"
NA;"Ace Combat Advance";"???";"Atari";"Unknown";"";"";"x"
NA;"Ace Combat X: Skies of Deception";"???";"Sony";"Unknown";"";"";"x"
NA;"Ace Combat: Distant Thunder";"???";"Sony, Namco";"Unknown";"";"";"x"
